x_ego,y_ego,x_tar,y_tar
-66.49178,0.0,0.0,-13.925
-63.391785,0.0,0.0,-13.925
-60.291786,0.0,0.0,-13.925
-57.191788,0.0,8.790558e-05,-13.895571
-54.09179,0.0,0.000792085,-13.807283
-50.99179,0.0,0.0032568702,-13.660154
-47.891792,0.0,0.008091495,-13.454201
-44.791794,0.0,0.017229319,-13.189492
-41.691795,0.0,0.03510788,-12.866263
-38.591797,0.0,0.0676702,-12.485085
-35.4918,0.0,0.11978406,-12.046737
-32.3918,0.0,0.19465789,-11.552088
-29.2918,0.0,0.2980544,-11.002591
-26.1918,0.0,0.43731177,-10.400513
-23.091799,0.0,0.6223511,-9.749487
-19.991798,0.0,0.8672206,-9.055855
-16.891798,0.0,1.1772444,-8.324304
-13.791798,0.0,1.5515383,-7.5574217
