segment_id,recording_id,ego_id,ego_driving_direction,window_start_frame,window_end_frame,anchor_frame,ego_anchor_lane_id,ego_anchor_speed_mps,num_slots_present_at_anchor,event_risk,peak_risk_frame,peak_risk_offset,peak_slot_name,peak_neighbor_id,peak_pair_risk,peak_instant_risk,peak_instant_frame,peak_instant_offset,num_untracked_candidates,max_untracked_pair_risk,max_untracked_neighbor_id,max_untracked_risk_frame,untracked_risk_exceeds_tracked_peak,risk_trace_row,same_front_id,same_front_window_presence_fraction,same_rear_id,same_rear_window_presence_fraction,left_front_id,left_front_window_presence_fraction,left_rear_id,left_rear_window_presence_fraction,right_front_id,right_front_window_presence_fraction,right_rear_id,right_rear_window_presence_fraction,max_sei_instant,max_sei_raw_margin,max_sei_ellipse_intrusion,max_sei_longitudinal_deficit,max_sei_lateral_deficit,max_sei_bbox_overlap
nat_01_000384_007872,1,384,1,7872,8021,7872,3,33.84999995122594,1,1.4397757053375244,8021,149,same_front,383,0.7738684415817261,0.7738684415817261,7920,48,8,0.4287213683128357,387,7976,0,511,383,1.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,0.7738684415817261,0.7738684415817261,0.7738684415817261,0.6980697512626648,0.5318351984024048,0.0
nat_33_001659_020226,33,1659,1,20226,20375,20226,4,36.709999084472656,1,1.3825095891952517,20375,149,same_front,1658,0.7524060010910034,0.7524060010910034,20374,148,7,0.0,-1,-1,0,82942,1658,1.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,0.7524060010910034,0.7524060010910034,0.7524060010910034,0.6739510893821716,0.5928753018379211,0.0
nat_02_001084_024450,2,1084,1,24450,24599,24450,3,32.150001525878906,2,1.3687629699707031,24599,149,same_front,1083,0.8249254822731018,0.738452136516571,24584,134,4,0.0,-1,-1,0,2732,1083,1.0,-1,0.0,-1,0.0,-1,0.0,1081,1.0,-1,0.0,0.738452136516571,0.8249254822731018,0.8249254822731018,0.9609975814819336,0.5848900079727173,0.0
nat_49_001160_014173,49,1160,2,14173,14322,14173,6,36.23279407966926,2,1.362724542617798,14322,149,same_front,1159,0.8338227868080139,0.7473377585411072,14297,124,5,0.0,-1,-1,0,134717,1159,1.0,-1,0.0,-1,0.0,-1,0.0,1157,1.0,-1,0.0,0.7473377585411072,0.8338227868080139,0.8338227868080139,0.9632352590560912,0.8039215803146362,0.0
nat_44_000822_009132,44,822,2,9132,9281,9132,6,34.63009347341379,2,1.3447508811950684,9281,149,same_front,820,0.8039767146110535,0.7175343632698059,9132,0,6,0.0,-1,-1,0,115839,820,1.0,-1,0.0,-1,0.0,-1,0.0,821,1.0,-1,0.0,0.7175343632698059,0.8039767146110535,0.8039767146110535,0.9489445090293884,0.511957049369812,0.0
nat_44_001010_011335,44,1010,2,11335,11484,11335,6,31.690456510583434,2,1.336038589477539,11484,149,same_front,1007,0.8240256905555725,0.7375535368919373,11421,86,1,0.0,-1,-1,0,116096,1007,1.0,-1,0.0,-1,0.0,-1,0.0,1006,1.0,-1,0.0,0.7375535368919373,0.8240256905555725,0.8240256905555725,0.9654660820961,0.5682210922241211,0.0
nat_50_000922_012125,50,922,2,12125,12274,12125,6,29.58219051214345,2,1.3059778213500977,12274,149,right_front,921,0.7882398962974548,0.7018244862556458,12226,101,11,0.5029363036155701,925,12202,0,136960,919,1.0,-1,0.0,-1,0.0,-1,0.0,921,1.0,-1,0.0,0.7018244862556458,0.7882398962974548,0.7882398962974548,0.7512513995170593,0.8283261656761169,0.0
nat_54_001656_018626,54,1656,2,18626,18775,18626,6,34.90999984741211,2,1.3037095069885254,18775,149,same_front,1655,0.7849194407463074,0.6985101699829102,18774,148,3,0.0,-1,-1,0,149439,1655,1.0,-1,0.0,-1,0.0,-1,0.0,1652,1.0,-1,0.0,0.6985101699829102,0.7849194407463074,0.7849194407463074,0.9647917151451112,0.5015576481819153,0.0
nat_28_001021_012813,28,1021,2,12813,12962,12813,6,31.299999237060547,1,1.2884976863861084,12962,149,same_front,1019,0.6824054718017578,0.6824054718017578,12841,28,3,0.1868135631084442,1024,12929,0,66510,1019,1.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,0.6824054718017578,0.6824054718017578,0.6824054718017578,0.6945940256118774,0.5318351984024048,0.0
nat_02_001083_024588,2,1083,1,24588,24737,24588,3,27.17014913736133,3,1.2818281650543213,24737,149,same_rear,1084,0.8245206475257874,0.6875350475311279,24589,1,4,0.0,-1,-1,0,2731,-1,0.0,1084,1.0,-1,0.0,-1,0.0,1078,1.0,1081,1.0,0.6875350475311279,0.8245206475257874,0.8245206475257874,0.944450616836548,0.4797763228416443,0.0
