epoch,train_nll,val_nll,learning_rate
1,-114.14213364447286,-88.28764204545455,5e-07
2,-114.46610041676321,-88.3023407907197,5e-07
3,-114.21577206932339,-88.28795276988636,5e-07
4,-114.39534867736295,-88.27043974905303,5e-07
5,-114.44954142356235,-88.30113636363636,5e-07
6,-114.20280191763543,-88.31325165719697,5e-07
7,-114.52113901944071,-88.29689867424243,5e-07
8,-114.42377829572882,-88.29249526515152,5e-07
9,-114.54213672743467,-88.30481178977273,5e-07
10,-114.29181775768406,-88.30059481534092,5e-07
11,-114.50267926524948,-88.31427260890152,5e-07
12,-114.3726703247496,-88.29808830492425,5e-07
13,-114.4978464382119,-88.27709517045454,5e-07
14,-114.37778113344625,-88.31022727272727,5e-07
15,-114.52113194360179,-88.31623461174243,5e-07
16,-114.12523688792312,-88.2998165246212,5e-07
17,-114.34165570608103,-88.31504498106061,5e-07
18,-114.30372561556239,-88.29142400568182,5e-07
19,-114.40912948795578,-88.28354048295455,5e-07
20,-114.46762885067612,-88.29607007575757,5e-07
21,-114.34281228430841,-88.2908203125,5e-07
22,-114.43640037384179,-88.30541252367425,5e-07
23,-114.48796034167782,-88.31397372159091,5e-07
24,-114.19831630517251,-88.2953213778409,5e-07
25,-114.43791452633559,-88.31673473011364,5e-07
26,-114.40725950794678,-88.3263671875,5e-07
27,-114.32018589362328,-88.30653705018939,5e-07
28,-114.50058433121565,-88.29743726325758,5e-07
29,-114.40885783036187,-88.31033380681818,5e-07
30,-114.41023345784811,-88.31679095643939,5e-07
31,-114.50686453242083,-88.31844519412878,5e-07
32,-114.42980133113379,-88.29670928030303,5e-07
33,-114.47236226433633,-88.33327414772727,5e-07
34,-114.53281704971671,-88.32418027935606,5e-07
35,-114.42001354151898,-88.32315932765151,5e-07
36,-114.41040144412452,-88.33270300662879,5e-07
37,-114.40871155651541,-88.31264796401516,5e-07
38,-114.46669825371129,-88.27346117424243,5e-07
39,-114.65822384512536,-88.28048354640151,5e-07
40,-114.45540062035374,-88.33167021780304,5e-07
41,-114.4016948027664,-88.30899029356061,5e-07
42,-114.53905572843406,-88.31219223484848,5e-07
43,-114.45099703320034,-88.29509943181819,5e-07
44,-114.45963873036852,-88.28431581439393,5e-07
45,-114.50142550451397,-88.31567234848485,5e-07
46,-114.46238445696281,-88.3130001183712,5e-07
47,-114.65940696058695,-88.30108309659092,5e-07
48,-114.59312488596584,-88.30119258996213,5e-07
49,-114.52847553266527,-88.31097892992425,5e-07
50,-114.70435111572412,-88.28840553977273,5e-07
51,-114.56173803590346,-88.29894649621212,5e-07
52,-114.75930907196646,-88.30799005681818,5e-07
53,-114.4523330917157,-88.3108428030303,5e-07
54,-114.57864205107921,-88.30923295454545,5e-07
55,-114.60276343177162,-88.31018584280304,5e-07
56,-114.5388109096752,-88.31050248579545,5e-07
57,-114.44692200858485,-88.31272786458334,5e-07
58,-114.42432462724608,-88.3040068655303,5e-07
59,-114.47206880512174,-88.29406368371212,5e-07
60,-114.50140268294821,-88.30334398674242,5e-07
61,-114.4951340082367,-88.29556107954545,5e-07
62,-114.54486636795686,-88.31512784090908,5e-07
63,-114.5579794099672,-88.31326941287878,5e-07
64,-114.47372452404367,-88.29765625,5e-07
65,-114.2640059657613,-88.31307410037878,2.5e-07
66,-114.67099174035997,-88.31921756628788,2.5e-07
