epoch,train_nll,val_nll,learning_rate
1,111.95931994038243,91.0618144642223,0.0005
2,70.53585980323054,65.30707961573745,0.0005
3,47.32544923351657,51.20278938755845,0.0005
4,32.41504155558925,40.65443426190001,0.0005
5,21.13809012382261,32.418325152541655,0.0005
6,12.964012598837575,25.707920929879855,0.0005
7,6.447602834393901,19.06186907941645,0.0005
8,-0.08713047273697391,14.657525053891268,0.0005
9,-4.992843810050719,9.616839241259026,0.0005
10,-10.46836357731973,6.653614460338246,0.0005
11,-13.884086699947234,4.995824443932736,0.0005
12,-16.36065770549159,-1.1034131599195076,0.0005
13,-21.257467410179878,-0.7168517372824929,0.0005
14,-21.615597401280557,-3.7000729647549715,0.0005
15,-25.22518963475381,-6.19976350032922,0.0005
16,-28.90715102164976,-8.259942349520596,0.0005
17,-30.452514025780463,-7.800744420831854,0.0005
18,-30.98226391700006,-7.723739693381569,0.0005
19,-31.42603713497039,-10.43767247055516,0.0005
20,-33.33427159463206,-12.92728798606179,0.0005
21,-36.295740617321385,-13.257611823804451,0.0005
22,-36.507258605957034,-16.026336461847478,0.0005
23,-38.88461865701983,-15.085507733894117,0.0005
24,-37.98079947686964,-20.047112274169923,0.0005
25,-42.13271983485068,-23.918259360573508,0.0005
26,-45.87868113856162,-24.501174302534622,0.0005
27,-47.72465687413369,-22.556266923384232,0.0005
28,-45.93300834901871,-27.216762496485856,0.0005
29,-49.61531300698557,-26.25149936098041,0.0005
30,-51.41874922721617,-28.216667984471176,0.0005
31,-52.1454465558452,-28.45955170140122,0.0005
32,-52.76085708618164,-27.068074336196435,0.0005
33,-53.08743546024446,-30.05909527865323,0.0005
34,-55.806621773012225,-28.581637966271604,0.0005
35,-53.23400168142011,-31.74681907422615,0.0005
36,-55.97884347238848,-30.3711794535319,0.0005
37,-56.31303047426285,-34.620087872129496,0.0005
38,-58.267300543016006,-36.27445306488962,0.0005
39,-60.12163587016444,-34.21967352664832,0.0005
40,-57.222198299284905,-36.576472195712,0.0005
41,-61.39580263199345,-35.404777989243016,0.0005
42,-60.45212116856729,-36.49693580396248,0.0005
43,-62.08049080633348,-41.795664423162286,0.0005
44,-66.03994517664755,-42.00140912605055,0.0005
45,-65.3858527201991,-40.67756833163175,0.0005
46,-65.94022868494834,-42.14158380681818,0.0005
47,-67.5592860757151,-40.92304026285807,0.0005
48,-68.04373773390247,-44.549668699322325,0.0005
49,-70.91190891388923,-45.4080561319987,0.0005
50,-70.76580232681766,-43.5876269716205,0.0005
51,-70.25331919024067,-41.54722683068478,0.0005
52,-69.71369677635931,-48.34037762266217,0.0005
53,-73.83632745558215,-47.57984101266572,0.0005
54,-72.99624693347562,-41.589849529844344,0.0005
55,-67.76287315122543,-45.01688620827415,0.0005
56,-71.11869749992124,-47.11367058031487,0.0005
57,-72.9764557672316,-47.120118620901394,0.0005
58,-73.75371294575353,-49.04449578487512,0.0005
59,-74.12517396988407,-47.580439388390744,0.0005
60,-74.65014099121093,-47.65644054990826,0.0005
61,-74.62922581826487,-47.98850185509884,0.0005
62,-75.77602391889019,-49.948551108620386,0.0005
63,-76.60920841340096,-50.16030735825047,0.0005
64,-78.72660551994078,-47.00363094445431,0.0005
65,-76.04849462693737,-52.19386356238163,0.0005
66,-79.88624326644405,-52.73257543390447,0.0005
67,-81.28175358926096,-57.85115393436316,0.0005
68,-83.85666118006553,-57.13869892467152,0.0005
69,-85.4123377350838,-53.26671336780895,0.0005
70,-82.87502681609124,-51.64789391719934,0.0005
71,-82.69368615919544,-55.95479010379675,0.0005
72,-84.05118764569683,-53.08867229114879,0.0005
73,-81.69902990525769,-50.49492150508996,0.00025
74,-85.54994885844569,-61.37344582297585,0.00025
75,-92.54278007261215,-63.9891157208067,0.00025
76,-94.70801086425782,-67.34008821429629,0.00025
77,-98.15504920221144,-66.175542010683,0.00025
78,-98.6857085000315,-68.2119233564897,0.00025
79,-100.14910278320312,-66.08826890425249,0.00025
80,-99.49820074266003,-68.15179036458333,0.00025
